#Types Before Cut: 11091
#Types After Cut: 9694
#Search Hits: 0
242	13	34.255	твои
243	13	34.255	учились
244	28	34.237	обычно
245	20	33.567	другому
246	17	33.255	пошла
247	15	32.667	будешь
248	15	32.667	понял
249	15	32.667	поняла
250	28	32.392	таки
251	34	32.265	голос
252	24	32.238	принципе
253	18	32.075	дом
254	18	32.075	фильм
255	12	31.620	берег
256	12	31.620	весело
257	12	31.620	детстве
258	12	31.620	квартиру
259	12	31.620	круто
260	12	31.620	любят
261	12	31.620	поговорить
262	12	31.620	пятьдесят
263	12	31.620	смешно
264	113	30.906	даже
265	16	30.849	школа
266	16	30.849	языке
267	20	30.797	дочка
268	49	30.620	всегда
269	21	30.471	хоть
270	21	30.471	язык
271	14	30.165	домой
272	14	30.165	света
273	17	29.757	давайте
274	11	28.985	inan
275	11	28.985	давали
276	11	28.985	девочки
277	11	28.985	девяносто
278	11	28.985	здорово
279	11	28.985	знала
280	11	28.985	кадра
281	11	28.985	классно
282	11	28.985	кхм
283	11	28.985	понимаешь
284	11	28.985	расскажу
285	11	28.985	рассказчик
286	11	28.985	смеётся
287	11	28.985	смотри
288	11	28.985	соседка
289	11	28.985	училась
290	11	28.985	холодно
291	19	28.619	младший
292	26	28.593	самое
293	26	28.593	смысле
294	15	28.457	играть
295	21	28.208	жить
296	36	27.876	две
297	13	27.673	концерт
298	13	27.673	семья
299	13	27.673	ходить
300	13	27.673	честно
301	16	27.456	видео
302	156	27.093	или
303	17	26.838	моей
304	18	26.462	понимаю
305	10	26.350	бывают
306	10	26.350	вкус
307	10	26.350	восемьдесят
308	10	26.350	дед
309	10	26.350	дедушка
310	10	26.350	ехать
311	10	26.350	забыл
312	10	26.350	иии
313	10	26.350	картинка
314	10	26.350	кашель
315	10	26.350	нуу
316	10	26.350	озеро
317	10	26.350	пол
318	10	26.350	прикольно
319	10	26.350	ребята
320	10	26.350	своё
321	10	26.350	слушай
322	10	26.350	смешок
323	10	26.350	собака
324	10	26.350	ушёл
325	19	26.251	н
326	19	26.251	слово
327	22	26.229	какую
328	22	26.229	часов
329	14	26.080	собственно
330	27	25.749	моя
331	12	25.192	вдруг
332	12	25.192	делаю
333	12	25.192	купил
334	15	25.175	ж
